brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,price_usd,mileage_mi,clean_title_flag,accident_reported,model_year_numeric,car_age,scaled_mileage,fuel_type_encoded
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,"17,500 mi.",Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,"$59,995",59995,17500,True,False,2021,5.0,17.5,0.0
BMW,650 Gran Coupe i xDrive,2015,"69,000 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,"$25,700",25700,69000,True,False,2015,11.0,69.0,0.0
Audi,Q5 2.0T Premium Plus,2017,"81,880 mi.",E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,Mythos Black Metallic,Black,None reported,Yes,"$21,375",21375,81880,True,False,2017,9.0,81.88,
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,"28,800 mi.",Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,None reported,Yes,"$48,000",48000,28800,True,False,2018,8.0,28.8,0.0
Dodge,Ram 1500 Laramie Mega Cab,2006,"300,183 mi.",Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,"$10,900",10900,300183,True,True,2006,20.0,300.183,0.0
BMW,i3 120Ah w/Range Extender,2020,"35,035 mi.",Hybrid,120 AH,Automatic,Black,Black,None reported,,"$24,998",24998,35035,,False,2020,6.0,35.035,
Kia,Sorento SX,2011,"171,000 mi.",Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"$5,999",5999,171000,True,False,2011,15.0,171.0,0.0
Lexus,LX 570 Base,2016,"118,700 mi.",Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,"$46,900",46900,118700,True,False,2016,10.0,118.7,0.0
Jeep,New Compass Trailhawk,2017,"119,000 mi.",Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,"$15,900",15900,119000,True,False,2017,9.0,119.0,0.0
BMW,340 i,2018,"44,261 mi.",Gasoline,3.0 Liter Turbo,Automatic,Gray,Black,None reported,,"$33,598",33598,44261,,False,2018,8.0,44.261,0.0
Audi,A4 2.0T Premium Plus quattro,2012,"125,575 mi.",Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,"$8,999",8999,125575,True,False,2012,14.0,125.575,0.0
Hyundai,Tucson SE,2007,"16,200 mi.",Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,"$8,200",8200,16200,True,False,2007,19.0,16.2,0.0
BMW,Z4 sDrive28i,2014,"70,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,"$20,000",20000,70000,True,True,2014,12.0,70.0,0.0
Bentley,Continental GTC Base,2011,"20,200 mi.",E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,"$79,950",79950,20200,True,False,2011,15.0,20.2,
Honda,Passport Elite,2023,"2,978 mi.",Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,None reported,,"$45,498",45498,2978,,False,2023,3.0,2.978,0.0
Dodge,Sprinter 2500,2007,"189,719 mi.",Diesel,3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,"$14,000",14000,189719,True,True,2007,19.0,189.719,1.0
BMW,M850 i xDrive,2019,"9,949 mi.",Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,None reported,,"$75,798",75798,9949,,False,2019,7.0,9.949,0.0
Lucid,Air Grand Touring,2022,"3,552 mi.",,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Beige,None reported,Yes,"$119,999",119999,3552,True,False,2022,4.0,3.552,
Audi,A7 Premium,2012,"54,000 mi.",Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,"$36,880",36880,54000,True,True,2012,14.0,54.0,0.0
Chevrolet,Silverado 1500 Custom Trail Boss,2021,"51,351 mi.",Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,None reported,Yes,"$43,147",43147,51351,True,False,2021,5.0,51.351,0.0
MINI,Convertible John Cooper Works,2017,"24,280 mi.",Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$29,000",29000,24280,True,True,2017,9.0,24.28,0.0
Toyota,Avalon Touring,2016,"89,148 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"$17,500",17500,89148,True,False,2016,10.0,89.148,0.0
Porsche,Cayenne Platinum Edition,2017,"73,043 mi.",Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,"$30,990",30990,73043,True,False,2017,9.0,73.043,0.0
Mercedes-Benz,AMG C 63 S,2017,"60,000 mi.",Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,"$52,500",52500,60000,True,True,2017,9.0,60.0,0.0
Honda,CR-V EX-L,2016,"73,549 mi.",Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,Mountain Air Metallic,Black,At least 1 accident or damage reported,,"$20,848",20848,73549,,True,2016,10.0,73.549,0.0
Hummer,H2 Base,2005,"110,900 mi.",Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,"$19,500",19500,110900,True,False,2005,21.0,110.9,0.0
Porsche,911 Carrera S,2013,"39,000 mi.",Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,"$73,000",73000,39000,True,False,2013,13.0,39.0,0.0
Mercedes-Benz,CLA-Class CLA 250,2016,"120,000 mi.",Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$19,800",19800,120000,True,False,2016,10.0,120.0,0.0
Chrysler,300 Touring,2009,"134,602 mi.",Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,"$7,500",7500,134602,True,False,2009,17.0,134.602,0.0
Nissan,Rogue SV,2023,"1,094 mi.",Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Caspian Blue,Light Gray,None reported,,"$30,999",30999,1094,,False,2023,3.0,1.094,0.0
Audi,A3 2.0T,2010,"83,500 mi.",Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,"$6,500",6500,83500,True,False,2010,16.0,83.5,0.0
Ford,Mustang GT Premium,2014,"37,060 mi.",Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,"$28,500",28500,37060,True,False,2014,12.0,37.06,0.0
Acura,RL Technology,2010,"97,700 mi.",Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,"$10,995",10995,97700,True,False,2010,16.0,97.7,0.0
Volvo,XC90 Hybrid T8 R-Design,2018,"40,000 mi.",Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$42,000",42000,40000,True,False,2018,8.0,40.0,
Audi,R8 5.2 V10,2018,"8,940 mi.",Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,Tango Red Metallic,Black,None reported,,"$144,900",144900,8940,,False,2018,8.0,8.94,0.0
Mercedes-Benz,GLK-Class GLK 350,2014,"186,000 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,"$10,000",10000,186000,True,True,2014,12.0,186.0,0.0
Toyota,C-HR LE,2021,"13,180 mi.",Gasoline,2.0 Liter,CVT-F,,,None reported,,"$23,998",23998,13180,,False,2021,5.0,13.18,0.0
Lexus,IS 350 Base,2014,"104,000 mi.",Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$21,000",21000,104000,True,False,2014,12.0,104.0,0.0
BMW,X4 M40i,2023,"8,500 mi.",Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,"$67,900",67900,8500,True,False,2023,3.0,8.5,
BMW,M4 CS,2019,"19,069 mi.",Gasoline,3.0 Liter DOHC Turbo,Automatic,Alpine White,Anthracite,None reported,,"$69,998",69998,19069,,False,2019,7.0,19.069,0.0
Cadillac,CT5 Premium Luxury,2023,"6,090 mi.",Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,"$46,900",46900,6090,True,False,2023,3.0,6.09,0.0
Lucid,Air Grand Touring,2022,"4,900 mi.",,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Black,None reported,Yes,"$99,000",99000,4900,True,False,2022,4.0,4.9,
Audi,A5 2.0T Premium Plus,2019,"47,523 mi.",Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$31,000",31000,47523,True,False,2019,7.0,47.523,0.0
Chrysler,300C SRT8,2006,"43,000 mi.",Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,"$19,995",19995,43000,True,True,2006,20.0,43.0,0.0
Bentley,Continental GT W12,2017,"14,684 mi.",Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,Yes,"$130,000",130000,14684,True,False,2017,9.0,14.684,0.0
BMW,M4 Base,2019,"57,800 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,"$55,999",55999,57800,True,False,2019,7.0,57.8,0.0
Toyota,GR Corolla Circuit Edition,2023,952 mi.,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,None reported,Yes,"$49,950",49950,952,True,False,2023,3.0,0.952,0.0
Audi,RS 5 2.9T,2019,"21,240 mi.",Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$59,950",59950,21240,True,True,2019,7.0,21.24,0.0
Porsche,Cayenne Base,2019,"59,338 mi.",Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$42,499",42499,59338,True,False,2019,7.0,59.338,0.0
Lamborghini,Huracan Tecnica Coupe,2023,255 mi.,Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,BLU ELEOS,Nero Ade,None reported,,"$359,991",359991,255,,False,2023,3.0,0.255,0.0
Maserati,Quattroporte S,2019,"23,230 mi.",Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$44,999",44999,23230,True,False,2019,7.0,23.23,0.0
Jaguar,XF 35t R-Sport,2017,"48,000 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,"$30,000",30000,48000,True,True,2017,9.0,48.0,0.0
Lexus,ES 330 Base,2005,"41,059 mi.",Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,None reported,Yes,"$11,100",11100,41059,True,False,2005,21.0,41.059,0.0
Land Rover,Rover Discovery Sport SE R-Dynamic,2020,"21,240 mi.",Gasoline,2.0 Liter,Automatic,White,Black,None reported,,"$37,998",37998,21240,,False,2020,6.0,21.24,0.0
Porsche,Cayman GTS,2015,"11,500 mi.",Gasoline,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,,None reported,Yes,"$72,000",72000,11500,True,False,2015,11.0,11.5,0.0
Genesis,G90 3.3T Premium,2021,"9,950 mi.",Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Blue,None reported,Yes,"$53,950",53950,9950,True,False,2021,5.0,9.95,0.0
Volkswagen,Golf R 20th Anniversary Edition,2023,633 mi.,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,"$47,999",47999,633,True,False,2023,3.0,0.633,0.0
Hyundai,Sonata Hybrid Limited,2015,"66,000 mi.",Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Gray,At least 1 accident or damage reported,Yes,"$15,900",15900,66000,True,True,2015,11.0,66.0,
Audi,RS 7 4.0T Prestige,2014,"59,715 mi.",Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,"$45,000",45000,59715,True,True,2014,12.0,59.715,0.0
BMW,740 Li,2012,"85,252 mi.",Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,"$18,500",18500,85252,True,False,2012,14.0,85.252,0.0
Mercedes-Benz,GLS 450 Base 4MATIC,2020,"17,900 mi.",Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$80,000",80000,17900,True,True,2020,6.0,17.9,
BMW,M6 Base,2016,"25,500 mi.",Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,Yes,"$55,000",55000,25500,True,False,2016,10.0,25.5,0.0
Subaru,Forester 2.5 X,2004,"210,703 mi.",Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,Green,Beige,,,"$2,300",2300,210703,,,2004,22.0,210.703,0.0
Hyundai,Elantra N Base,2023,"3,800 mi.",Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,"$34,000",34000,3800,True,False,2023,3.0,3.8,0.0
Kia,Niro Plug-In Hybrid EX Premium,2022,"36,602 mi.",Hybrid,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,Horizon Blue,Charcoal,None reported,Yes,"$31,995",31995,36602,True,False,2022,4.0,36.602,
Rivian,R1S Adventure Package,2023,"2,800 mi.",,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Green,None reported,Yes,"$92,000",92000,2800,True,False,2023,3.0,2.8,
Aston Martin,Martin DBS Superleggera,2021,"2,165 mi.",Gasoline,5.2L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Black,Black,None reported,Yes,"$279,950",279950,2165,True,False,2021,5.0,2.165,0.0
Mercedes-Benz,SLC 300 Base,2018,"33,000 mi.",Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,"$29,900",29900,33000,True,True,2018,8.0,33.0,0.0
BMW,435 Gran Coupe i,2016,"76,009 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,"$24,950",24950,76009,True,False,2016,10.0,76.009,0.0
Jeep,Grand Cherokee Summit,2020,"31,349 mi.",Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,,"$39,366",39366,31349,,False,2020,6.0,31.349,0.0
Lexus,RC 350 Base,2015,"48,000 mi.",Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Red,None reported,Yes,"$32,900",32900,48000,True,False,2015,11.0,48.0,0.0
BMW,525 i,2005,"91,420 mi.",Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,"$8,900",8900,91420,True,False,2005,21.0,91.42,0.0
Toyota,Corolla LE,2003,"124,756 mi.",Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,M/T,Beige,Beige,At least 1 accident or damage reported,Yes,"$4,995",4995,124756,True,True,2003,23.0,124.756,0.0
Cadillac,CT5-V Blackwing,2023,"2,415 mi.",Gasoline,6.2L V8 16V GDI OHV Supercharged,10-Speed Automatic,Rift Metallic,Gray,None reported,,"$104,900",104900,2415,,False,2023,3.0,2.415,0.0
GMC,Acadia SLT-1,2012,"116,226 mi.",Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,"$7,900",7900,116226,True,False,2012,14.0,116.226,0.0
Lexus,LC 500 Base,2020,"37,869 mi.",Gasoline,5.0L V8 32V PDI DOHC,10-Speed Automatic,Atomic Silver,Rioja Red,None reported,,"$75,950",75950,37869,,False,2020,6.0,37.869,0.0
BMW,i8 Base,2019,"41,500 mi.",Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,"$86,000",86000,41500,True,False,2019,7.0,41.5,
Lexus,ES 300h Base,2013,"87,001 mi.",Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Gold,Beige,None reported,Yes,"$17,995",17995,87001,True,False,2013,13.0,87.001,
Cadillac,CT5-V V-Series,2022,"4,451 mi.",Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,"$55,655",55655,4451,True,True,2022,4.0,4.451,0.0
BMW,540 i xDrive,2020,"27,158 mi.",Gasoline,2.0 Liter Turbo,Automatic,Imperial Blue Metallic,Canberra Beige/Black,None reported,,"$39,998",39998,27158,,False,2020,6.0,27.158,0.0
Chevrolet,Express 1500 Work Van,2014,"139,804 mi.",Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,"$14,500",14500,139804,True,True,2014,12.0,139.804,0.0
Jeep,Gladiator Rubicon,2022,"27,300 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,"$47,500",47500,27300,True,False,2022,4.0,27.3,0.0
BMW,Z4 sDrive28i,2014,"36,812 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,"$27,000",27000,36812,True,False,2014,12.0,36.812,0.0
Land Rover,Rover LR4 HSE LUX Landmark Edition,2016,"144,000 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$18,000",18000,144000,True,True,2016,10.0,144.0,0.0
Cadillac,XT4 Sport,2019,"44,500 mi.",Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,White,None reported,Yes,"$28,900",28900,44500,True,False,2019,7.0,44.5,0.0
BMW,750 750i xDrive,2021,"10,917 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Black,None reported,,"$73,998",73998,10917,,False,2021,5.0,10.917,0.0
Bentley,Arnage R,2005,"8,332 mi.",Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Beige,None reported,Yes,"$47,350",47350,8332,True,False,2005,21.0,8.332,0.0
Lincoln,Aviator Reserve AWD,2020,"51,247 mi.",Gasoline,3.0 Liter GTDI,Automatic,Magnetic Gray Clearcoat,Roast,None reported,,"$47,698",47698,51247,,False,2020,6.0,51.247,0.0
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,"69,000 mi.",Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,"$36,500",36500,69000,True,False,2016,10.0,69.0,0.0
RAM,ProMaster 3500 High Roof,2021,"147,834 mi.",Gasoline,3.6L V6 24V MPFI DOHC,6-Speed Automatic,Bright White Clearcoat,Black,None reported,Yes,"$32,662",32662,147834,True,False,2021,5.0,147.834,0.0
Ford,Utility Police Interceptor Base,2013,"105,000 mi.",E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Black,At least 1 accident or damage reported,Yes,"$6,600",6600,105000,True,True,2013,13.0,105.0,
